State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Uttarakhand,Udhamsinghnagar,Sitarganj APMC,Tomato,Deshi,Grade B,25-02-2026,800,1500,1000
Telangana,Ranga Reddy,"Kukatpally,RBZ APMC",Bottle gourd,Bottle Gourd,FAQ,25-02-2026,600,1000,850
Kerala,Alappuzha,Chengannur APMC,Drumstick,Other,FAQ,25-02-2026,7800,8300,8000
Kerala,Kozhikode(Calicut),Quilandy APMC,Cowpea(Veg),Other,FAQ,25-02-2026,3500,3800,3600
Telangana,Ranga Reddy,"Kukatpally,RBZ APMC",Brinjal,Brinjal,FAQ,25-02-2026,1000,2000,1700
Haryana,Faridabad,Ballabhgarh APMC,Green Chilli,Green Chilly,FAQ,25-02-2026,2500,4500,3500
Madhya Pradesh,Badwani,Badwani(F&V) APMC,Tomato,Tomato,Local,25-02-2026,800,800,800
Kerala,Kottayam,Pampady APMC,Drumstick,Drumstick,FAQ,25-02-2026,10000,12000,11000
Kerala,Kottayam,Pampady APMC,Indian Beans(Seam),Other,FAQ,25-02-2026,6000,7500,7000
Kerala,Pathanamthitta,Ezhamkulam VFPCK APMC,Banana,Nendra Bale,Grade A,25-02-2026,5500,6400,6000
Punjab,Amritsar,Rayya APMC,Cauliflower,Local,FAQ,25-02-2026,850,850,850
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Lemon,Lemon,Local,25-02-2026,2055,2260,2150
Uttar Pradesh,Prayagraj,Lediyari APMC,Paddy(Common),Common,FAQ,25-02-2026,2400,2500,2450
Punjab,Amritsar,Rayya APMC,Tomato,Other,FAQ,25-02-2026,1015,1015,1015
Himachal Pradesh,Chamba,PMY Chamba,Bhindi(Ladies Finger),Bhindi,Medium,25-02-2026,7000,7500,7250
Madhya Pradesh,Badwani,Badwani(F&V) APMC,Cauliflower,Cauliflower,Local,25-02-2026,1100,1100,1100
Haryana,Rewari,Kosli APMC,Brinjal,Other,FAQ,25-02-2026,1000,1000,1000
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Pumpkin,Pumpkin,Local,25-02-2026,1300,1500,1400
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Green Chilli,Green Chilly,Medium,25-02-2026,3000,3200,3100
Uttar Pradesh,Saharanpur,Chutmalpur APMC,Kinnow,Kinnow,Medium,25-02-2026,2400,2600,2500
Kerala,Alappuzha,Harippad APMC,Ashgourd,Other,FAQ,25-02-2026,3000,3500,3000
Kerala,Alappuzha,Harippad APMC,Capsicum,Capsicum,FAQ,25-02-2026,8000,8500,8000
Kerala,Kannur,Taliparamba APMC,Brinjal,Brinjal,FAQ,25-02-2026,3900,4100,4000
Haryana,Panchkula,Barwala APMC,Onion,Onion,FAQ,25-02-2026,1500,1600,1550
Odisha,Kalahandi,Junagarh APMC,Cabbage,Other,Grade B,25-02-2026,1300,1700,1500
Kerala,Kozhikode(Calicut),Quilandy APMC,Cucumbar(Kheera),Other,FAQ,25-02-2026,2500,2600,2500
Uttar Pradesh,Shamli,Khandhla APMC,Apple,Delicious,Medium,25-02-2026,6500,6600,6550
Manipur,Kakching,Kakching Market APMC,Paddy(Common),Other,Local,25-02-2026,2875,2875,2875
Uttarakhand,Haridwar,Manglaur APMC,Guava,Other,Medium,25-02-2026,2500,3200,3000
Kerala,Alappuzha,Harippad APMC,Amaranthus,Other,FAQ,25-02-2026,5000,5500,5000
Telangana,Ranga Reddy,"Kukatpally,RBZ APMC",Carrot,Carrot,FAQ,25-02-2026,400,1000,800
Manipur,Kakching,Kakching Market APMC,Black Gram(Urd Beans)(Whole),Black Gram (Whole),FAQ,25-02-2026,13500,13500,13500
Uttarakhand,Haridwar,Manglaur APMC,Grapes,Other,Medium,25-02-2026,6000,7000,6500
Manipur,Kakching,Kakching Market APMC,Bengal Gram Dal(Chana Dal),Bengal Gram Dal,FAQ,25-02-2026,10500,10500,10500
Kerala,Malappuram,Kottakkal APMC,Amranthas Red,Chawli Lal,Local,25-02-2026,2500,2500,2500
Kerala,Alappuzha,Harippad APMC,Cauliflower,Cauliflower,FAQ,25-02-2026,4000,4500,4000
Uttar Pradesh,Shamli,Khandhla APMC,Guava,Guava,Medium,25-02-2026,2800,2900,2850
Gujarat,Surendranagar,Chotila APMC,Jowar(Sorghum),Jowar ( White),FAQ,25-02-2026,3500,4000,3850
Kerala,Malappuram,Kottakkal APMC,Bottle gourd,Other,Local,25-02-2026,2600,2600,2600
Kerala,Malappuram,Kottakkal APMC,Brinjal,Other,Local,25-02-2026,2000,2000,2000
Kerala,Malappuram,Kottakkal APMC,Ginger(Green),Other,Local,25-02-2026,6000,6000,6000
Kerala,Malappuram,Kottakkal APMC,Papaya(Raw),Other,Local,25-02-2026,2700,2700,2700
Punjab,Mohali,Dera Bassi APMC,Cauliflower,Other,Local,25-02-2026,1500,1500,1500
